category,gender,group,service,price,up_to,active
Facials,Unisex,Clean Up,Clean & Clear Clean Up (30 mins),700,,true
Facials,Unisex,Clean Up,Quick Glow Mask,500,,true
Facials,Unisex,Clean Up,Youth Brightening / Rubber Mask,1000,,true
Facials,Unisex,Clean Up,Collagen Mask,1500,,true
Facials,Unisex,Basic Facial,Perfect Balance Facial (40 mins – All Skin Types),1000,,true
Facials,Unisex,Basic Facial,Anti Tan Facial (45 mins – All Skin Types Except Sensitive & Acne Skin),1400,,true
Facials,Unisex,Basic Facial,Oxyblast Facial (45 mins – All Skin Types),1600,,true
Facials,Unisex,Basic Facial,Glovite Facial (45 mins – All Skin Types Except Sensitive & Acne Skin),1750,,true
Facials,Unisex,Basic Facial,Sensi Glow Facial (60 mins – Sensitive Skin Only),1800,,true
Facials,Unisex,Basic Facial,Signature Facial (60 mins – All Skin Types),2000,,true
Facials,Unisex,Premium Facials,Episyl Facial (Pro Matte / Pro Hydra / Pro Merge),2500,,true
Facials,Unisex,Premium Facials,Power Brightening Facial (70 mins – All Skin Types),2800,,true
Facials,Unisex,Premium Facials,Ultra Relaxing Facial,3000,,true
Facials,Unisex,Premium Facials,Anti Aging Facial (70 mins – Dry & Mature Skin),3000,,true
Facials,Unisex,Premium Facials,Premium Gensyl Facial – Walnut-Giner / Papaya Marshmallow,3500,,true
Facials,Unisex,Premium Facials,Thalgo Facial,3850,,true
Facials,Unisex,Premium Facials,Facial for Bride/Groom (90 mins – All Skin Types),4000,,true
Facials,Unisex,Premium Facials,Dermasyl – Blanch Facial,4500,,true
Nail Care,Unisex,Nail Paint & Extensions,Gel Nail Paint – Hands,800,,true
Nail Care,Unisex,Nail Paint & Extensions,Gel Nail Paint – Feet,600,,true
Nail Care,Unisex,Nail Paint & Extensions,Permanent Gel Extension,2500,,true
Nail Care,Unisex,Nail Paint & Extensions,Temporary Extension – Hands,1000,,true
Nail Care,Unisex,Nail Art,Nail Art per Finger (with Color),60,,true
Nail Care,Unisex,Nail Art,Advanced Nail Art per Finger (Glitter/Sticker),80,,true
Nail Care,Unisex,Nail Art,Advanced Nail Art per Finger (Stones/Accessories),100,500,true
Nail Care,Unisex,Removal,Extension Removal – Gel,800,,true
Nail Care,Unisex,Removal,Extension Removal – Acrylic,1000,,true
Nail Care,Unisex,Removal,Gel Nail Paint Removal,150,,true
Hands & Feet Care,Unisex,Basic Services,Cut & File Hands/Feet,100,,true
Hands & Feet Care,Unisex,Basic Services,"Cut, File & Paint Hands/Feet",200,,true
Hands & Feet Care,Unisex,Basic Services,Regular Manicure,550,,true
Hands & Feet Care,Unisex,Basic Services,Regular Pedicure,600,,true
Hands & Feet Care,Unisex,Basic Services,Cocktail Manicure,650,,true
Hands & Feet Care,Unisex,Basic Services,Cocktail Pedicure,750,,true
Hands & Feet Care,Unisex,Advance Services,Relaxing Manicure,800,,true
Hands & Feet Care,Unisex,Advance Services,Relaxing Pedicure,1000,,true
Hands & Feet Care,Unisex,Advance Services,Crystal Spa Manicure,1400,,true
Hands & Feet Care,Unisex,Advance Services,Crystal Spa Pedicure,1800,,true
Hands & Feet Care,Unisex,Advance Services,Premium AVL Manicure,2250,,true
